ID,Soil_pH,Organic_C (%),Total_N (%),C_N_Ratio,Land_Use_Type,Soil_Depth_cm,Bacteria_Abundance (%),Fungi_Abundance (%),β_Glucosidase (µmol/g/h),Urease (µmol/g/h),CO2_Emission (µg/g/day),NH4_Nitrate (µg/g)
31031,6.12,2.38,0.177,13.4,Organic,10–20,38.67,24.86,4.92,12.62,51.95,196.99
31032,7.32,3.93,0.216,18.2,Monoculture,0–10,30.82,47.06,6.08,15.0,59.56,235.81
31033,6.31,4.24,0.105,40.4,Organic,10–20,46.48,26.14,6.46,8.24,61.23,124.84
31034,6.77,1.09,0.148,7.4,Monoculture,10–20,35.86,44.21,3.91,10.86,45.44,167.96
31035,6.35,2.57,0.192,13.4,Traditional,0–10,55.62,30.8,5.08,13.47,52.98,211.82
31036,6.36,3.35,0.106,31.6,Traditional,0–10,30.93,42.14,5.7,8.32,56.74,125.97
31037,6.59,3.93,0.093,42.3,Monoculture,10–20,34.13,25.93,6.14,7.56,59.61,112.95
31038,6.21,3.76,0.229,16.4,Traditional,10–20,42.85,34.4,5.92,15.75,58.87,249.29
31039,7.09,4.43,0.13,34.1,Organic,10–20,39.68,38.68,6.43,9.85,62.11,150.0
31040,6.77,3.65,0.138,26.4,Traditional,10–20,46.56,27.71,5.95,10.26,58.12,157.76
31041,6.88,1.44,0.121,11.9,Traditional,10–20,43.66,35.92,4.17,9.23,47.14,141.33
31042,5.96,1.56,0.198,7.9,Traditional,10–20,35.47,20.94,4.13,13.91,47.91,217.55
31043,7.44,4.33,0.089,48.7,Traditional,10–20,38.86,40.93,6.39,7.38,61.69,109.12
31044,6.82,1.08,0.118,9.2,Organic,0–10,30.05,21.45,3.83,9.03,45.5,137.89
31045,5.89,2.32,0.241,9.6,Monoculture,0–10,35.58,41.91,4.86,16.47,51.62,260.89
31046,7.0,2.51,0.242,10.4,Organic,10–20,43.56,25.93,5.1,16.48,52.58,261.58
31047,5.85,1.91,0.155,12.3,Organic,0–10,38.85,45.72,4.56,11.33,49.78,174.86
31048,5.63,3.56,0.076,46.8,Traditional,0–10,31.27,30.55,5.88,6.63,57.73,95.67
31049,6.56,3.91,0.064,61.1,Monoculture,10–20,41.95,35.93,6.11,5.8,59.58,84.3
31050,6.61,4.35,0.22,19.8,Organic,10–20,58.65,31.02,6.53,15.26,61.71,240.03
31051,5.88,4.38,0.158,27.7,Monoculture,0–10,43.23,33.35,6.52,11.42,61.71,178.29
31052,6.2,2.37,0.11,21.5,Traditional,10–20,50.04,24.68,4.92,8.63,51.92,129.93
31053,7.39,4.31,0.237,18.2,Organic,0–10,31.2,28.16,6.5,16.33,61.72,256.95
31054,6.07,2.7,0.089,30.3,Traditional,0–10,43.64,23.13,5.2,7.34,53.43,108.62
31055,5.81,3.92,0.073,53.7,Organic,0–10,52.6,33.42,6.12,6.33,59.73,93.32
31056,7.49,3.76,0.157,23.9,Monoculture,10–20,31.68,38.34,5.96,11.36,58.82,177.02
31057,6.1,1.79,0.068,26.3,Organic,10–20,39.91,34.98,4.4,6.05,48.95,87.9
31058,6.86,3.0,0.222,13.5,Organic,10–20,56.24,29.94,5.33,15.3,54.94,242.15
31059,5.96,4.4,0.202,21.8,Monoculture,10–20,41.57,32.44,6.56,14.08,62.15,222.33
31060,6.6,2.84,0.103,27.6,Traditional,0–10,53.02,43.32,5.17,8.16,54.23,123.02
31061,6.27,2.83,0.067,42.2,Monoculture,0–10,40.3,41.28,5.39,5.96,54.19,87.15
31062,7.42,3.19,0.095,33.6,Monoculture,10–20,32.77,20.55,5.49,7.67,55.85,115.18
31063,6.37,4.25,0.11,38.6,Organic,0–10,56.02,33.43,6.34,8.63,61.28,129.95
31064,6.67,2.36,0.119,19.8,Monoculture,0–10,31.6,30.0,4.9,9.17,51.76,138.85
31065,7.39,1.13,0.079,14.3,Monoculture,0–10,37.3,43.78,3.91,6.83,45.66,98.76
31066,7.48,1.63,0.061,26.7,Organic,10–20,48.41,21.17,4.32,5.7,48.09,80.92
31067,5.7,4.36,0.066,66.1,Monoculture,10–20,32.11,29.72,6.45,5.91,61.82,85.88
31068,7.17,1.91,0.106,18.0,Traditional,0–10,34.4,22.13,4.45,8.39,49.59,126.16
31069,6.26,3.6,0.226,15.9,Monoculture,10–20,31.74,21.66,5.91,15.57,57.94,245.84
31070,6.69,2.34,0.138,17.0,Monoculture,10–20,56.59,24.38,5.01,10.31,51.63,158.04
31071,6.25,1.13,0.097,11.6,Organic,10–20,40.66,43.12,3.89,7.81,45.53,116.82
31072,6.3,2.16,0.144,15.0,Traditional,10–20,39.89,25.18,4.79,10.67,50.73,163.77
31073,5.82,2.44,0.07,34.9,Monoculture,0–10,46.67,34.51,4.93,6.16,52.04,90.22
31074,6.65,1.81,0.119,15.2,Monoculture,0–10,46.28,38.14,4.37,9.09,49.05,139.11
31075,6.59,4.39,0.244,18.0,Traditional,0–10,43.06,32.06,6.47,16.68,61.9,263.93
31076,5.88,4.47,0.076,58.8,Monoculture,0–10,44.34,40.48,6.59,6.54,62.31,96.01
31077,6.58,1.97,0.072,27.4,Organic,0–10,59.3,41.76,4.55,6.34,49.91,91.99
31078,7.45,4.36,0.11,39.6,Organic,10–20,37.06,49.68,6.46,8.6,61.65,129.96
31079,6.93,4.22,0.121,34.9,Monoculture,10–20,36.93,31.29,6.33,9.28,60.89,141.14
31080,6.46,4.32,0.187,23.1,Monoculture,10–20,52.76,35.86,6.46,13.16,61.51,206.77
31081,7.33,3.58,0.063,56.8,Organic,0–10,40.98,48.68,5.85,5.79,58.01,83.16
31082,6.65,2.71,0.151,17.9,Traditional,0–10,42.47,37.84,5.11,11.15,53.47,170.84
31083,5.77,2.44,0.187,13.0,Monoculture,0–10,55.37,25.79,4.86,13.24,52.31,206.85
31084,6.6,1.1,0.121,9.1,Traditional,0–10,40.78,39.45,3.94,9.31,45.6,141.1
31085,5.86,1.75,0.097,18.0,Organic,0–10,53.72,20.71,4.44,7.85,48.82,117.0
31086,7.04,3.59,0.209,17.2,Traditional,0–10,58.88,27.25,5.82,14.49,57.94,229.38
31087,7.43,1.4,0.166,8.4,Traditional,0–10,51.09,25.68,4.06,12.01,47.02,185.78
31088,6.22,1.05,0.096,10.9,Traditional,0–10,35.46,32.21,3.91,7.82,45.26,115.94
31089,6.37,3.77,0.074,50.9,Organic,0–10,41.67,47.8,6.0,6.37,58.8,94.09
31090,6.34,2.37,0.181,13.1,Organic,0–10,33.57,42.03,4.87,12.89,51.96,200.9
31091,6.07,2.38,0.168,14.2,Organic,0–10,56.66,26.45,4.89,12.08,51.71,188.01
31092,7.09,1.95,0.116,16.8,Traditional,0–10,50.13,42.33,4.56,9.02,49.82,136.5
31093,6.74,3.94,0.172,22.9,Organic,0–10,52.75,32.7,6.2,12.35,59.7,192.07
31094,5.63,3.86,0.085,45.4,Organic,0–10,30.46,29.35,6.1,7.13,59.16,105.13
31095,7.18,2.77,0.189,14.7,Traditional,10–20,32.24,36.23,5.16,13.26,53.82,209.0
31096,5.87,3.06,0.224,13.7,Organic,10–20,34.07,28.31,5.46,15.43,55.23,243.85
31097,7.46,1.86,0.211,8.8,Monoculture,0–10,51.49,38.35,4.5,14.76,49.38,230.8
31098,6.25,1.5,0.111,13.5,Organic,0–10,53.88,44.31,4.17,8.75,47.38,130.57
31099,6.73,2.16,0.086,25.1,Organic,0–10,53.98,24.29,4.74,7.15,50.85,105.81
31100,5.66,3.72,0.132,28.2,Organic,0–10,56.46,36.7,5.96,9.93,58.67,151.82
31101,6.19,4.12,0.101,40.8,Traditional,10–20,47.55,42.36,6.34,8.0,60.64,120.96
31102,7.1,2.46,0.106,23.2,Monoculture,0–10,52.3,47.49,4.95,8.36,52.3,125.93
31103,6.45,4.14,0.074,55.9,Organic,10–20,55.49,45.01,6.27,6.47,60.55,94.22
31104,7.31,2.03,0.233,8.7,Traditional,0–10,39.33,20.31,4.59,15.98,50.13,252.91
31105,6.65,2.33,0.21,11.1,Organic,0–10,41.56,21.71,4.82,14.57,51.6,230.17
31106,7.36,2.11,0.208,10.1,Traditional,0–10,46.64,48.7,4.63,14.53,50.56,227.98
31107,7.47,1.85,0.19,9.7,Monoculture,0–10,44.32,30.25,4.43,13.4,49.29,209.99
31108,6.41,2.4,0.14,17.1,Organic,0–10,43.44,47.41,4.95,10.38,52.11,160.05
31109,6.63,2.18,0.073,29.9,Organic,10–20,55.18,41.75,4.69,6.4,51.02,93.38
31110,7.17,1.75,0.064,27.3,Organic,0–10,49.27,44.86,4.33,5.85,48.84,83.83
31111,5.94,2.85,0.06,47.5,Traditional,10–20,47.86,31.58,5.31,5.6,54.22,79.97
31112,7.22,3.29,0.216,15.2,Traditional,0–10,40.27,36.29,5.68,14.94,56.55,236.22
31113,6.68,3.58,0.134,26.7,Traditional,0–10,36.14,38.5,5.93,9.97,57.82,154.06
31114,6.95,3.77,0.131,28.8,Organic,10–20,36.03,32.72,5.97,9.83,58.88,151.05
31115,5.66,2.78,0.074,37.6,Monoculture,0–10,38.04,46.28,5.2,6.4,53.96,94.01
31116,7.03,2.27,0.119,19.1,Monoculture,0–10,39.49,20.67,4.87,9.22,51.26,139.07
31117,6.12,1.92,0.233,8.2,Traditional,0–10,59.86,48.79,4.64,15.97,49.75,252.81
31118,7.11,2.48,0.218,11.4,Traditional,10–20,59.45,36.26,4.96,15.07,52.43,237.99
31119,6.52,2.06,0.063,32.7,Traditional,0–10,46.24,45.98,4.59,5.78,50.37,83.01
31120,6.05,2.92,0.25,11.7,Traditional,0–10,32.67,36.97,5.32,16.91,54.76,270.08
31121,7.41,1.04,0.238,4.4,Monoculture,10–20,45.94,36.22,3.85,16.31,45.19,257.81
31122,7.03,2.66,0.211,12.6,Monoculture,0–10,35.49,26.87,5.15,14.59,53.2,231.0
31123,7.47,3.59,0.233,15.4,Organic,0–10,40.41,36.01,5.8,16.0,57.92,253.13
31124,6.23,1.98,0.111,17.8,Organic,10–20,36.64,28.2,4.69,8.71,50.08,130.98
31125,6.8,4.05,0.143,28.3,Organic,10–20,41.07,49.03,6.23,10.57,59.99,162.88
31126,6.72,1.64,0.181,9.1,Organic,10–20,45.68,20.72,4.37,12.85,48.11,201.04
31127,6.88,3.77,0.146,25.8,Organic,10–20,40.59,40.98,6.05,10.79,58.87,166.3
31128,5.58,3.59,0.055,65.3,Traditional,10–20,48.76,32.55,5.83,5.29,57.97,74.38
31129,6.08,2.38,0.145,16.4,Monoculture,10–20,41.89,24.79,4.93,10.66,51.78,165.07
31130,7.32,1.01,0.201,5.0,Monoculture,0–10,47.94,45.45,3.89,14.02,44.87,221.1
31131,6.35,1.34,0.134,10.0,Traditional,10–20,43.13,20.22,4.04,10.04,46.72,154.03
31132,7.42,2.93,0.246,11.9,Monoculture,10–20,41.64,23.88,5.29,16.77,54.43,266.09
31133,5.93,4.25,0.189,22.5,Organic,0–10,43.94,37.74,6.39,13.33,61.33,209.16
31134,7.49,2.55,0.05,51.0,Organic,0–10,39.19,21.96,5.04,5.04,52.65,70.14
31135,6.9,3.67,0.188,19.5,Organic,0–10,50.91,40.1,6.03,13.17,58.45,208.11
31136,7.05,1.55,0.228,6.8,Organic,0–10,49.47,38.35,4.17,15.68,47.71,247.85
31137,6.29,3.8,0.173,22.0,Monoculture,10–20,49.22,32.6,6.06,12.22,59.13,193.11
31138,7.31,1.92,0.177,10.8,Traditional,10–20,43.94,28.76,4.57,12.57,49.52,196.91
31139,6.59,1.43,0.055,26.0,Monoculture,0–10,53.23,21.49,4.16,5.27,47.08,74.98
31140,6.86,2.65,0.148,17.9,Monoculture,0–10,41.92,45.86,4.99,10.91,53.21,168.04
31141,5.69,2.77,0.132,21.0,Monoculture,10–20,43.32,42.55,5.25,9.98,53.86,151.86
31142,6.76,3.07,0.18,17.1,Organic,10–20,44.93,38.36,5.5,12.8,55.22,199.68
31143,7.26,2.65,0.054,49.1,Monoculture,10–20,30.85,33.37,5.16,5.23,53.34,74.04
31144,5.86,2.48,0.191,13.0,Traditional,0–10,52.58,44.27,4.98,13.56,52.55,210.75
31145,6.98,3.23,0.232,13.9,Organic,10–20,53.01,36.94,5.57,15.96,56.21,252.0
31146,5.55,3.54,0.182,19.5,Organic,0–10,40.03,42.16,5.82,12.94,57.68,201.94
31147,7.35,2.43,0.054,45.0,Monoculture,10–20,45.78,49.68,4.97,5.3,52.39,73.93
31148,7.47,3.88,0.165,23.5,Monoculture,0–10,42.39,34.61,6.07,11.96,59.47,184.82
31149,6.21,2.28,0.247,9.2,Traditional,10–20,55.72,27.66,4.82,16.82,51.5,267.25
31150,5.71,4.14,0.128,32.3,Organic,0–10,57.31,28.55,6.3,9.64,60.84,148.13
31151,6.82,1.67,0.16,10.4,Organic,10–20,45.15,37.09,4.29,11.64,48.33,180.01
31152,5.56,3.04,0.191,15.9,Organic,0–10,54.23,41.53,5.42,13.5,55.04,210.69
31153,6.46,4.22,0.148,28.5,Traditional,10–20,32.94,22.96,6.33,10.93,61.23,167.81
31154,6.04,1.76,0.174,10.1,Monoculture,10–20,30.18,27.24,4.26,12.42,48.86,194.33
31155,6.45,4.45,0.131,34.0,Monoculture,0–10,47.12,34.34,6.5,9.95,62.21,150.85
31156,5.54,3.82,0.11,34.7,Traditional,0–10,36.61,34.48,6.08,8.54,59.06,129.94
31157,5.6,2.42,0.237,10.2,Monoculture,0–10,31.89,23.7,4.83,16.26,51.98,257.07
31158,5.53,2.72,0.064,42.5,Traditional,0–10,54.58,42.75,5.23,5.81,53.57,84.08
31159,6.74,1.32,0.193,6.8,Traditional,10–20,36.24,46.02,4.09,13.65,46.64,212.99
31160,6.62,2.57,0.239,10.8,Organic,0–10,54.7,28.28,5.04,16.36,52.97,258.87
31161,5.97,4.47,0.156,28.7,Traditional,10–20,40.61,40.59,6.62,11.31,62.32,176.2
31162,6.79,4.48,0.094,47.7,Organic,10–20,39.37,38.05,6.66,7.72,62.45,113.75
31163,7.27,1.58,0.1,15.8,Monoculture,10–20,59.89,28.74,4.26,8.05,47.94,119.86
31164,6.05,1.05,0.063,16.7,Organic,0–10,30.29,24.13,3.86,5.8,45.27,82.65
31165,7.16,1.5,0.066,22.7,Organic,0–10,58.42,28.35,4.17,5.97,47.4,86.19
31166,6.83,2.97,0.17,17.5,Monoculture,0–10,42.17,38.04,5.36,12.17,54.82,190.24
31167,5.57,4.19,0.078,53.7,Traditional,0–10,34.03,39.64,6.41,6.67,60.9,97.82
31168,6.25,1.08,0.243,4.4,Monoculture,0–10,33.79,20.88,3.87,16.61,45.36,263.2
31169,6.52,2.21,0.228,9.7,Organic,10–20,58.46,33.14,4.77,15.59,51.07,247.99
31170,6.96,4.48,0.145,30.9,Traditional,0–10,50.36,41.99,6.52,10.77,62.47,165.19
31171,6.07,2.9,0.128,22.7,Monoculture,0–10,34.87,23.19,5.31,9.69,54.34,147.9
31172,7.47,2.75,0.233,11.8,Monoculture,10–20,48.1,35.01,5.03,15.88,53.7,253.12
31173,6.87,1.24,0.214,5.8,Traditional,10–20,41.09,33.48,4.04,14.78,46.38,234.1
31174,6.25,2.28,0.167,13.7,Traditional,10–20,51.03,46.86,4.92,12.08,51.45,187.06
31175,5.69,2.57,0.176,14.6,Traditional,0–10,50.29,21.82,5.03,12.57,52.81,196.25
31176,5.86,2.76,0.181,15.2,Organic,10–20,42.96,25.34,5.19,12.79,53.75,200.99
31177,6.48,4.14,0.087,47.6,Organic,10–20,50.06,43.59,6.29,7.24,60.87,106.88
31178,6.49,4.18,0.184,22.7,Traditional,10–20,40.58,20.09,6.38,13.09,60.81,204.39
31179,7.04,2.48,0.152,16.3,Organic,0–10,39.21,31.43,4.98,11.16,52.41,172.17
31180,6.95,1.09,0.116,9.4,Monoculture,10–20,58.31,30.19,3.87,8.93,45.38,136.12
31181,5.9,4.04,0.148,27.3,Monoculture,0–10,58.71,44.11,6.13,10.9,60.14,168.16
31182,6.69,2.99,0.168,17.8,Organic,0–10,53.21,27.22,5.37,12.14,54.92,187.76
31183,5.54,1.6,0.132,12.1,Monoculture,0–10,55.72,47.35,4.32,10.01,48.22,151.68
31184,6.3,3.14,0.122,25.7,Monoculture,10–20,47.83,25.58,5.5,9.31,55.77,141.49
31185,7.03,3.01,0.124,24.3,Organic,0–10,34.27,21.63,5.38,9.42,55.0,143.61
31186,6.3,2.26,0.173,13.1,Organic,10–20,46.27,30.57,4.86,12.37,51.19,193.15
31187,7.17,1.21,0.191,6.3,Traditional,0–10,38.41,43.4,3.98,13.45,45.88,211.21
31188,7.45,1.09,0.133,8.2,Organic,0–10,30.96,45.99,3.95,10.03,45.45,152.82
31189,6.71,3.42,0.247,13.8,Traditional,10–20,46.58,27.71,5.71,16.88,57.16,267.14
31190,5.79,1.34,0.237,5.7,Monoculture,0–10,40.49,48.11,4.09,16.24,46.71,257.25
31191,6.26,4.2,0.13,32.3,Traditional,0–10,56.25,21.06,6.44,9.79,60.97,149.93
31192,5.52,1.51,0.201,7.5,Monoculture,0–10,52.76,34.64,4.14,14.07,47.54,221.12
31193,6.71,2.93,0.163,18.0,Organic,0–10,43.93,33.4,5.34,11.79,54.68,183.26
31194,7.14,3.71,0.193,19.2,Monoculture,0–10,42.91,43.06,6.02,13.6,58.66,212.57
31195,6.76,4.0,0.115,34.8,Monoculture,0–10,48.74,43.53,6.18,8.92,59.76,134.85
31196,7.07,4.1,0.202,20.3,Organic,0–10,48.15,39.94,6.28,14.02,60.53,221.95
31197,7.1,2.94,0.099,29.7,Organic,0–10,39.32,43.57,5.4,7.94,54.59,118.84
31198,7.2,1.84,0.074,24.9,Monoculture,0–10,43.9,25.75,4.48,6.47,49.27,94.03
31199,6.03,1.71,0.051,33.5,Traditional,0–10,47.93,42.55,4.33,5.09,48.44,70.82
31200,7.24,2.57,0.067,38.4,Monoculture,0–10,35.57,27.11,5.06,5.95,52.8,87.03
31201,6.81,3.2,0.192,16.7,Monoculture,10–20,32.05,44.63,5.61,13.5,56.02,212.38
31202,6.08,4.02,0.186,21.6,Monoculture,0–10,34.4,36.21,6.16,13.17,59.9,205.88
31203,7.47,2.76,0.137,20.1,Traditional,10–20,55.39,48.15,5.21,10.36,53.8,156.92
31204,7.4,3.45,0.137,25.2,Traditional,10–20,30.5,41.74,5.72,10.16,57.24,156.74
31205,6.65,3.42,0.176,19.4,Monoculture,0–10,53.75,20.21,5.64,12.55,57.12,195.84
31206,7.19,1.41,0.189,7.5,Traditional,0–10,44.75,39.0,4.14,13.27,47.13,208.9
31207,6.02,3.85,0.144,26.7,Traditional,10–20,50.21,34.82,6.07,10.67,59.08,164.31
31208,6.33,2.51,0.192,13.1,Traditional,0–10,40.25,38.2,5.02,13.48,52.51,212.14
31209,5.87,1.2,0.052,23.1,Monoculture,10–20,51.97,20.28,3.9,5.11,45.94,72.11
31210,6.54,2.99,0.228,13.1,Traditional,0–10,43.7,37.53,5.42,15.72,55.05,247.8
31211,6.49,4.18,0.059,70.8,Traditional,0–10,48.9,28.38,6.36,5.65,60.96,79.28
31212,5.93,3.66,0.138,26.5,Monoculture,10–20,36.22,39.57,5.98,10.33,58.39,158.09
31213,6.85,1.42,0.072,19.7,Monoculture,10–20,54.6,31.57,4.1,6.29,47.15,92.14
31214,5.74,3.8,0.057,66.7,Organic,10–20,37.22,35.79,6.09,5.35,58.93,76.88
31215,5.62,1.16,0.227,5.1,Monoculture,0–10,33.34,42.35,4.02,15.56,45.83,246.79
31216,6.27,3.01,0.211,14.3,Traditional,0–10,55.17,31.01,5.34,14.64,55.07,231.17
31217,6.32,1.4,0.173,8.1,Traditional,10–20,58.18,41.02,4.21,12.4,47.1,193.2
31218,6.14,3.11,0.118,26.4,Traditional,10–20,37.28,45.6,5.5,9.02,55.55,137.75
31219,6.02,1.54,0.157,9.8,Traditional,10–20,59.71,36.81,4.21,11.39,47.84,176.92
31220,6.18,4.13,0.228,18.1,Traditional,10–20,58.13,22.1,6.31,15.72,60.66,248.06
31221,5.83,3.28,0.093,35.3,Monoculture,0–10,56.44,24.26,5.64,7.51,56.34,113.01
31222,6.31,2.54,0.209,12.2,Organic,10–20,39.61,26.05,4.96,14.54,52.68,228.82
31223,7.31,4.18,0.092,45.4,Traditional,0–10,47.7,31.31,6.3,7.47,60.94,111.82
31224,5.95,1.6,0.219,7.3,Traditional,10–20,30.4,23.17,4.25,15.16,47.92,238.79
31225,6.87,4.07,0.231,17.6,Monoculture,0–10,36.67,32.59,6.27,15.88,60.35,250.9
31226,5.78,1.4,0.158,8.9,Monoculture,0–10,50.37,26.92,4.11,11.58,46.97,178.26
31227,6.21,3.7,0.219,16.9,Monoculture,0–10,39.05,38.07,5.87,15.08,58.43,238.84
31228,6.14,1.5,0.196,7.7,Monoculture,10–20,38.94,23.43,4.18,13.74,47.38,215.84
31229,7.37,1.54,0.247,6.2,Organic,0–10,47.78,21.22,4.23,16.83,47.69,266.72
31230,6.36,4.02,0.084,47.9,Organic,10–20,36.2,40.54,6.29,6.93,59.86,104.22
31231,6.88,2.57,0.142,18.1,Monoculture,10–20,37.15,24.36,5.04,10.52,52.8,162.13
31232,6.7,1.89,0.098,19.3,Traditional,0–10,38.18,31.12,4.53,7.87,49.41,118.15
31233,5.78,3.31,0.179,18.5,Organic,0–10,37.2,30.81,5.59,12.69,56.63,199.02
31234,7.38,4.02,0.147,27.3,Organic,10–20,59.86,24.6,6.22,10.82,60.04,167.19
31235,6.19,2.45,0.155,15.8,Monoculture,0–10,50.02,22.29,5.0,11.29,52.29,175.13
31236,5.59,2.0,0.111,18.0,Organic,10–20,40.57,46.31,4.63,8.65,49.92,130.78
31237,6.1,1.97,0.19,10.4,Traditional,0–10,59.6,28.99,4.53,13.41,49.89,210.19
31238,6.17,3.39,0.15,22.6,Traditional,10–20,36.27,40.95,5.67,10.93,57.11,169.92
31239,5.69,3.47,0.06,57.8,Organic,10–20,42.47,28.69,5.77,5.63,57.39,79.89
31240,6.74,4.2,0.231,18.2,Traditional,10–20,54.45,47.36,6.38,15.8,60.95,250.89
31241,6.19,1.07,0.092,11.6,Organic,0–10,36.4,31.66,3.93,7.54,45.3,111.72
31242,6.76,1.48,0.208,7.1,Monoculture,10–20,35.08,28.98,4.22,14.54,47.56,227.82
31243,5.51,3.06,0.223,13.7,Organic,0–10,52.5,47.14,5.48,15.38,55.37,242.74
31244,7.46,2.03,0.125,16.2,Organic,10–20,53.84,42.71,4.69,9.53,50.18,145.19
31245,5.84,2.58,0.233,11.1,Monoculture,10–20,47.43,40.97,5.04,15.99,53.1,252.95
31246,6.82,4.24,0.213,19.9,Organic,0–10,41.68,21.54,6.39,14.75,61.14,233.15
31247,6.93,1.34,0.203,6.6,Organic,0–10,54.71,43.09,4.07,14.14,46.62,222.66
31248,5.84,3.27,0.206,15.9,Organic,0–10,58.52,49.65,5.67,14.41,56.43,225.83
31249,5.72,3.81,0.138,27.6,Traditional,0–10,31.07,42.96,6.05,10.22,58.89,158.2
31250,5.81,1.42,0.127,11.2,Traditional,0–10,33.94,25.79,4.18,9.64,47.18,147.24
31251,5.99,3.26,0.14,23.3,Monoculture,10–20,52.97,25.2,5.67,10.44,56.42,160.07
31252,5.84,3.91,0.193,20.3,Organic,10–20,38.3,42.55,6.09,13.6,59.62,213.3
31253,6.85,1.72,0.099,17.4,Organic,10–20,59.76,22.27,4.31,7.99,48.66,118.72
31254,6.34,1.47,0.153,9.6,Monoculture,10–20,37.91,30.34,4.13,11.22,47.27,172.9
31255,6.58,1.23,0.143,8.6,Traditional,0–10,33.24,37.32,4.08,10.6,46.13,163.27
31256,5.59,3.55,0.143,24.8,Monoculture,0–10,37.43,31.46,5.76,10.54,57.83,163.27
31257,7.22,2.45,0.173,14.2,Organic,10–20,31.99,35.98,4.89,12.43,52.25,192.85
31258,5.84,2.75,0.249,11.0,Organic,10–20,43.41,41.08,5.24,16.96,53.8,268.87
31259,6.22,1.35,0.24,5.6,Organic,10–20,37.61,37.16,4.13,16.31,46.76,259.91
31260,5.64,1.41,0.231,6.1,Organic,0–10,38.57,41.6,4.12,15.84,47.05,251.1
31261,5.77,3.36,0.079,42.5,Organic,10–20,35.28,39.73,5.7,6.81,56.91,98.99
31262,6.83,2.44,0.168,14.5,Monoculture,10–20,37.29,37.04,4.9,12.06,52.04,188.14
31263,6.89,3.94,0.155,25.4,Organic,0–10,53.46,26.76,6.17,11.35,59.54,174.98
31264,6.85,3.75,0.225,16.7,Traditional,0–10,41.89,37.02,6.03,15.45,58.79,244.8
31265,6.6,3.75,0.19,19.7,Traditional,0–10,32.25,41.57,6.02,13.35,58.76,209.84
31266,7.41,4.01,0.224,17.9,Organic,10–20,37.79,25.19,6.14,15.41,60.07,243.68
31267,6.51,3.97,0.081,49.0,Organic,0–10,39.34,25.94,6.17,6.83,59.99,100.91
31268,6.4,2.9,0.211,13.7,Monoculture,10–20,39.45,35.92,5.27,14.71,54.45,230.78
31269,6.0,2.01,0.235,8.6,Organic,0–10,58.22,31.48,4.7,16.11,49.97,255.02
31270,5.7,2.97,0.156,19.0,Monoculture,10–20,53.46,44.51,5.42,11.36,54.72,175.95
31271,6.6,1.83,0.19,9.6,Organic,10–20,58.75,31.51,4.47,13.3,49.17,210.08
31272,6.13,1.67,0.224,7.5,Traditional,10–20,37.2,20.43,4.36,15.49,48.5,243.92
31273,6.55,2.77,0.123,22.5,Organic,10–20,32.43,43.23,5.24,9.42,54.04,143.15
31274,5.91,3.18,0.122,26.1,Monoculture,0–10,40.35,34.97,5.49,9.28,55.78,141.63
31275,7.18,2.58,0.193,13.4,Monoculture,0–10,36.58,48.26,5.03,13.59,52.92,213.11
31276,7.5,3.82,0.189,20.2,Organic,10–20,55.42,28.62,5.99,13.38,58.99,208.73
31277,6.14,3.04,0.131,23.2,Traditional,0–10,41.29,24.91,5.52,9.84,55.18,151.0
31278,7.18,4.42,0.093,47.5,Monoculture,0–10,43.05,25.16,6.54,7.58,62.13,112.85
31279,7.25,1.6,0.137,11.7,Monoculture,10–20,39.52,26.99,4.32,10.27,48.09,157.25
31280,7.49,2.09,0.103,20.3,Organic,0–10,45.38,48.39,4.72,8.21,50.39,123.14
31281,6.19,1.25,0.164,7.6,Organic,0–10,49.85,26.38,4.05,11.81,46.29,183.94
31282,7.01,2.75,0.146,18.8,Organic,10–20,45.38,44.39,5.17,10.75,53.88,165.82
31283,5.96,1.17,0.126,9.3,Organic,10–20,48.4,47.18,3.97,9.53,45.78,146.14
31284,6.75,3.28,0.24,13.7,Organic,10–20,54.16,40.62,5.59,16.39,56.46,259.83
31285,6.91,1.87,0.124,15.1,Traditional,0–10,34.04,41.4,4.55,9.44,49.36,143.76
31286,6.98,3.64,0.131,27.8,Traditional,0–10,32.0,33.9,5.83,9.79,58.29,150.78
31287,5.91,1.14,0.215,5.3,Traditional,0–10,33.34,25.05,3.86,14.94,45.83,235.23
31288,7.2,2.18,0.197,11.1,Monoculture,0–10,48.61,33.26,4.79,13.78,50.88,216.9
31289,6.34,4.26,0.235,18.1,Organic,10–20,49.76,34.87,6.28,16.11,61.31,255.23
31290,5.93,1.24,0.153,8.1,Organic,10–20,40.4,40.06,3.9,11.21,46.18,173.25
31291,6.59,4.06,0.242,16.8,Traditional,10–20,42.44,32.88,6.3,16.51,60.24,262.06
31292,7.23,2.16,0.058,37.2,Traditional,0–10,58.74,36.94,4.73,5.52,50.76,78.3
31293,7.43,1.13,0.092,12.3,Organic,0–10,31.85,35.09,3.93,7.56,45.57,112.29
31294,7.0,4.15,0.067,61.9,Monoculture,10–20,47.61,45.69,6.25,6.05,60.69,87.1
31295,5.51,2.5,0.076,32.9,Monoculture,10–20,35.9,25.86,4.98,6.62,52.41,95.59
31296,5.77,2.52,0.239,10.5,Monoculture,0–10,30.96,41.73,4.99,16.36,52.57,259.1
